Dataset,NumClasses,TrainsetSize,TestsetSize,SeriesLength,1NN,SAX_1NN,SAXVSM,BOP_1NN,GIVENBOP_1NN,
SyntheticControl,6.0,300.0,300.0,60.0,0.12,0.28,0.33666666666666667,0.040000000000000036,0.037 
GunPoint,2.0,50.0,150.0,150.0,0.08666666666666667,0.33999999999999997,0.10666666666666669,0.07999999999999996,0.027 
CBF,3.0,30.0,900.0,128.0,0.14777777777777779,0.2944444444444444,0.1466666666666666,0.011111111111111072,0.013 
FaceAll,14.0,560.0,1690.0,131.0,0.28639053254437874,0.785207100591716,0.22662721893491122,0.22958579881656804,0.219 
OSULeaf,6.0,200.0,242.0,427.0,0.48347107438016534,0.7272727272727273,0.8140495867768596,0.3842975206611571,0.256 
SwedishLeaf,15.0,500.0,625.0,128.0,0.21120000000000005,0.5152,0.5936,0.21440000000000003,0.198 
fiftywords,50.0,450.0,455.0,270.0,0.36923076923076925,0.49010989010989015,0.7340659340659341,0.44395604395604393,0.466 
Trace,4.0,100.0,100.0,275.0,0.24,0.31000000000000005,0.0,0.0,0.0 
TwoPatterns,4.0,1000.0,4000.0,128.0,0.09325000000000006,0.5197499999999999,0.51025,0.12524999999999997,0.129 
wafer,2.0,1000.0,6164.0,152.0,0.004542504866969499,0.01703439325113565,0.02336145360155739,0.002595717066839698,0.003 
FaceFour,4.0,24.0,88.0,350.0,0.21590909090909094,0.7386363636363636,0.18181818181818177,0.011363636363636354,0.023 
Lightning2,2.0,60.0,61.0,637.0,0.24590163934426235,0.34426229508196726,0.2295081967213115,0.14754098360655743,0.164 
Lightning7,7.0,70.0,73.0,319.0,0.4246575342465754,0.31506849315068497,0.36986301369863017,0.452054794520548,0.466 
ECGFiveDays,2.0,23.0,861.0,136.0,0.2032520325203252,0.31126596980255516,0.03600464576074336,0.04181184668989546,0.15 
Adiac,37.0,390.0,391.0,176.0,0.38874680306905374,0.8439897698209718,0.7621483375959079,0.4603580562659847,0.432 
yoga,2.0,300.0,3000.0,426.0,0.16966666666666663,0.33799999999999997,0.47,0.16966666666666663,0.17 
fish,7.0,175.0,175.0,463.0,0.2171428571428572,0.6228571428571428,0.07428571428571429,0.07428571428571429,0.074 
Beef,5.0,30.0,30.0,470.0,0.4666666666666667,0.7333333333333334,0.7666666666666666,0.2666666666666667,0.433 
Coffee,2.0,28.0,28.0,286.0,0.25,0.4642857142857143,0.2142857142857143,0.0357142857142857,0.036 
OliveOil,4.0,30.0,30.0,570.0,0.1333333333333333,0.6,0.1333333333333333,0.09999999999999998,0.133 
